0,1,2,3,4
,,,,
,Dependent variable: Similarity,Dependent variable: Similarity,Dependent variable: Similarity,Dependent variable: Similarity
,,,,
,Total Overlap,Total + Interaction,Individual Overlaps,Individual + Interaction
,(1),(2),(3),(4)
,,,,
GeoDiff,-0.000***,-0.000***,-0.000***,-0.000***
,(0.000),(0.000),(0.000),(0.000)
Intercept,0.365***,0.380***,0.367***,0.389***
,(0.003),(0.004),(0.003),(0.004)
TimeDiff,-0.000***,-0.001***,-0.000***,-0.001***
,(0.000),(0.000),(0.000),(0.000)
Time_x_Geo,,0.000***,,0.000***
,,(0.000),,(0.000)
TopicShare_0,,,-0.185**,-0.173*
,,,(0.094),(0.093)
TopicShare_1,,,-0.082,-0.089
,,,(0.091),(0.091)
TopicShare_2,,,0.044***,0.050***
,,,(0.007),(0.007)
TopicShare_3,,,0.170***,0.173***
,,,(0.022),(0.022)
TopicShare_4,,,-0.060***,-0.066***
,,,(0.004),(0.004)
TopicShare_5,,,0.078***,0.080***
,,,(0.022),(0.021)
TopicShare_6,,,0.198***,0.199***
,,,(0.035),(0.034)
Total_Topic_Overlap,-0.038***,-0.041***,,
,(0.004),(0.004),,
Observations,6328,6328,6328,6328
R2,0.095,0.102,0.149,0.164
Adjusted R2,0.094,0.102,0.148,0.163
Residual Std. Error,0.097 (df=6324),0.096 (df=6323),0.094 (df=6318),0.093 (df=6317)
F Statistic,220.566*** (df=3; 6324),180.103*** (df=4; 6323),123.076*** (df=9; 6318),123.951*** (df=10; 6317)
,,,,
Note:,*p<0.1; **p<0.05; ***p<0.01,*p<0.1; **p<0.05; ***p<0.01,*p<0.1; **p<0.05; ***p<0.01,*p<0.1; **p<0.05; ***p<0.01
