0,1,2,3
,,,
,Dependent variable: Similarity,Dependent variable: Similarity,Dependent variable: Similarity
,,,
,(1),(2),(3)
,,,
GeoDiff,-0.000***,-0.000***,-0.000***
,(0.000),(0.000),(0.000)
Intercept,0.344***,0.326***,0.356***
,(0.002),(0.003),(0.003)
TimeDiff,-0.000***,-0.000***,-0.001***
,(0.000),(0.000),(0.000)
Time_x_Geo,,,0.000***
,,,(0.000)
TopicDiff_0,,0.012,
,,(0.008),
TopicDiff_1,,0.029***,
,,(0.008),
TopicDiff_2,,0.054***,
,,(0.004),
TopicDiff_3,,0.056***,
,,(0.004),
TopicDiff_4,,-0.038***,
,,(0.004),
TopicDiff_5,,0.056***,
,,(0.005),
TopicDiff_6,,0.061***,
,,(0.005),
Observations,6328,6328,6328
R2,0.078,0.150,0.084
Adjusted R2,0.078,0.149,0.083
Residual Std. Error,0.097 (df=6325),0.094 (df=6318),0.097 (df=6324)
F Statistic,268.980*** (df=2; 6325),124.290*** (df=9; 6318),193.128*** (df=3; 6324)
,,,
Note:,*p<0.1; **p<0.05; ***p<0.01,*p<0.1; **p<0.05; ***p<0.01,*p<0.1; **p<0.05; ***p<0.01
