0,1,2
,,
,,
,DV: Document Similarity,DV: Total Topic Overlap
,(1),(2)
,,
GeoDiff_100s,-0.003***,-0.013***
,(0.000),(0.001)
Intercept,0.356***,0.598***
,(0.003),(0.010)
TimeDiff_100s,-0.058***,-0.229***
,(0.003),(0.012)
Time_x_Geo_Scaled,0.001***,0.006***
,(0.000),(0.001)
Observations,6328,6328
R2,0.084,0.130
Adjusted R2,0.083,0.129
Residual Std. Error,0.097 (df=6324),0.337 (df=6324)
F Statistic,193.128*** (df=3; 6324),314.550*** (df=3; 6324)
,,
Note:,*p<0.1; **p<0.05; ***p<0.01,*p<0.1; **p<0.05; ***p<0.01
