Label,Alabama 1819,Alabama 1861,Alabama 1865,Alabama 1868,Alabama 1875,Alabama 1901,Alaska 1836,Alaska 1959,Arizona 1912,Arkansas 1864,Arkansas 1868,Arkansas 1874,Colorado 1876,Connecticut 1662,Connecticut 1818,Connecticut 1955,Connecticut 1965,Delaware 1776,Delaware 1792,Delaware 1831,Delaware 1897,Florida 1838,Florida 1861,Florida 1865,Florida 1868,Florida 1885,Florida 1968,Hawaii 1959,Hawaii 1968,Hawaii 1978,Idaho 1890,Illinois 1818,Illinois 1848,Illinois 1870,Illinois 1970,Indiana 1816,Indiana 1851,Iowa 1846,Iowa 1857,Kansas 1859,Kentucky 1792,Kentucky 1799,Kentucky 1850,Kentucky 1890,Louisiana 1812,Louisiana 1845,Louisiana 1852,Louisiana 1861,Louisiana 1864,Louisiana 1868,Maine 1819,Maryland 1776,Maryland 1851,Maryland 1864,Maryland 1867,Michigan 1835,Michigan 1850,Michigan 1908,Michigan 1962,Minnesota 1857,Minnesota 1974,Mississippi 1817,Mississippi 1832,Mississippi 1861,Mississippi 1868,Mississippi 1890,Montana 1889,Montana 1973,Nevada 1864,New Hampshire 1776,New Hampshire 1784,New Hampshire 1792,New Jersey 1776,New Jersey 1844,New Jersey 1947,New Mexico 1911,New York 1777,New York 1821,New York 1846,New York 1894,New York 1938,North Carolina 1776,North Carolina 1868,North Carolina 1971,North Dakota 1889,North Dakota 1981,Ohio 1802,Ohio 1851,Oklahoma 1907,Pennsylvania 1776,Pennsylvania 1790,Pennsylvania 1839,Pennsylvania 1874,Pennsylvania 1969,Rhode Island 1843,Rhode Island 1986,South Carolina 1776,South Carolina 1778,South Carolina 1790,South Carolina 1861,South Carolina 1865,South Carolina 1868,South Carolina 1896,South Dakota 1889,Texas 1845,Texas 1866,Texas 1869,Texas 1876,Utah 1895,Washington 1889,West Virginia 1861,West Virginia 1872,Wyoming 1889
Alabama 1819,1.0,0.62,0.62,0.61,0.64,0.41,0.18,0.19,0.28,0.3,0.27,0.25,0.35,0.13,0.21,0.25,0.27,0.21,0.28,0.29,0.22,0.26,0.29,0.3,0.29,0.28,0.29,0.27,0.22,0.31,0.3,0.26,0.3,0.31,0.32,0.31,0.33,0.22,0.27,0.22,0.23,0.24,0.28,0.29,0.25,0.27,0.27,0.31,0.27,0.27,0.65,0.28,0.28,0.31,0.3,0.24,0.25,0.28,0.3,0.26,0.24,0.26,0.26,0.29,0.28,0.29,0.3,0.18,0.28,0.11,0.3,0.22,0.19,0.22,0.3,0.24,0.24,0.29,0.31,0.34,0.32,0.2,0.25,0.25,0.29,0.27,0.23,0.28,0.22,0.24,0.26,0.28,0.29,0.26,0.29,0.26,0.15,0.21,0.27,0.24,0.29,0.28,0.23,0.27,0.28,0.29,0.28,0.25,0.24,0.3,0.24,0.29,0.26
Alabama 1861,0.62,1.0,0.74,0.74,0.7,0.46,0.19,0.24,0.32,0.28,0.26,0.24,0.39,0.14,0.21,0.24,0.27,0.22,0.26,0.28,0.27,0.26,0.52,0.29,0.3,0.29,0.33,0.26,0.22,0.3,0.29,0.25,0.28,0.33,0.36,0.29,0.33,0.26,0.26,0.21,0.24,0.22,0.27,0.28,0.26,0.28,0.28,0.55,0.29,0.28,0.33,0.27,0.28,0.3,0.3,0.23,0.25,0.32,0.29,0.26,0.24,0.24,0.24,0.5,0.26,0.29,0.3,0.21,0.29,0.1,0.31,0.23,0.19,0.24,0.31,0.27,0.25,0.28,0.3,0.35,0.34,0.25,0.26,0.26,0.28,0.26,0.21,0.32,0.26,0.25,0.24,0.26,0.28,0.29,0.3,0.3,0.15,0.21,0.27,0.46,0.29,0.33,0.24,0.26,0.26,0.28,0.27,0.27,0.23,0.31,0.23,0.31,0.26
Alabama 1865,0.62,0.74,1.0,0.74,0.7,0.46,0.2,0.25,0.34,0.3,0.28,0.26,0.41,0.14,0.22,0.25,0.29,0.23,0.28,0.3,0.28,0.27,0.29,0.55,0.31,0.31,0.35,0.27,0.23,0.32,0.31,0.26,0.3,0.35,0.39,0.31,0.35,0.27,0.27,0.22,0.26,0.23,0.28,0.3,0.27,0.3,0.3,0.34,0.3,0.3,0.35,0.29,0.29,0.32,0.32,0.24,0.26,0.34,0.31,0.28,0.25,0.25,0.26,0.3,0.28,0.31,0.31,0.22,0.31,0.11,0.33,0.24,0.21,0.26,0.34,0.29,0.26,0.3,0.32,0.37,0.36,0.22,0.27,0.27,0.29,0.28,0.23,0.34,0.27,0.26,0.26,0.28,0.3,0.31,0.31,0.32,0.17,0.23,0.29,0.29,0.54,0.35,0.26,0.27,0.27,0.29,0.28,0.28,0.25,0.33,0.24,0.33,0.28
Alabama 1868,0.61,0.74,0.74,1.0,0.71,0.46,0.19,0.24,0.33,0.29,0.49,0.25,0.39,0.13,0.21,0.24,0.27,0.22,0.27,0.28,0.27,0.26,0.28,0.29,0.52,0.3,0.34,0.26,0.22,0.31,0.3,0.25,0.29,0.33,0.37,0.29,0.34,0.26,0.27,0.21,0.24,0.22,0.27,0.29,0.26,0.28,0.29,0.33,0.29,0.51,0.33,0.27,0.27,0.3,0.3,0.23,0.25,0.32,0.3,0.26,0.24,0.24,0.24,0.27,0.5,0.29,0.3,0.22,0.3,0.1,0.31,0.23,0.19,0.24,0.32,0.28,0.24,0.29,0.31,0.35,0.34,0.21,0.46,0.26,0.28,0.27,0.21,0.32,0.27,0.25,0.25,0.26,0.29,0.3,0.3,0.3,0.16,0.21,0.27,0.27,0.29,0.57,0.25,0.26,0.26,0.28,0.27,0.27,0.24,0.32,0.23,0.32,0.27
Alabama 1875,0.64,0.7,0.7,0.71,1.0,0.46,0.19,0.22,0.31,0.32,0.31,0.28,0.39,0.15,0.25,0.27,0.3,0.22,0.3,0.31,0.25,0.28,0.31,0.32,0.35,0.31,0.34,0.3,0.25,0.34,0.34,0.29,0.32,0.35,0.36,0.33,0.36,0.24,0.3,0.24,0.24,0.25,0.31,0.32,0.26,0.29,0.29,0.34,0.29,0.3,0.34,0.3,0.31,0.34,0.33,0.26,0.28,0.32,0.33,0.3,0.28,0.28,0.28,0.31,0.31,0.32,0.33,0.21,0.31,0.1,0.31,0.24,0.2,0.35,0.33,0.27,0.25,0.31,0.34,0.36,0.35,0.22,0.28,0.29,0.32,0.31,0.24,0.31,0.25,0.26,0.27,0.29,0.32,0.29,0.31,0.29,0.16,0.22,0.29,0.26,0.32,0.31,0.26,0.3,0.3,0.32,0.31,0.29,0.28,0.33,0.26,0.32,0.29
Alabama 1901,0.41,0.46,0.46,0.46,0.46,1.0,0.19,0.25,0.48,0.29,0.27,0.43,0.61,0.21,0.25,0.25,0.3,0.23,0.28,0.32,0.33,0.25,0.26,0.28,0.33,0.5,0.6,0.29,0.26,0.38,0.45,0.24,0.31,0.41,0.42,0.28,0.36,0.23,0.29,0.29,0.24,0.21,0.27,0.36,0.25,0.29,0.29,0.34,0.29,0.32,0.47,0.43,0.32,0.33,0.43,0.24,0.31,0.43,0.4,0.39,0.31,0.24,0.25,0.28,0.29,0.39,0.38,0.22,0.42,0.18,0.35,0.28,0.24,0.26,0.44,0.4,0.34,0.32,0.39,0.54,0.56,0.25,0.3,0.28,0.41,0.35,0.21,0.45,0.43,0.25,0.25,0.29,0.38,0.34,0.41,0.3,0.17,0.26,0.31,0.27,0.27,0.31,0.43,0.33,0.27,0.31,0.3,0.53,0.34,0.45,0.26,0.48,0.33
Alaska 1836,0.18,0.19,0.2,0.19,0.19,0.19,1.0,0.48,0.2,0.2,0.18,0.19,0.25,0.09,0.15,0.15,0.18,0.14,0.18,0.19,0.16,0.17,0.18,0.19,0.19,0.2,0.21,0.17,0.14,0.2,0.2,0.16,0.2,0.22,0.22,0.19,0.22,0.16,0.17,0.14,0.16,0.15,0.18,0.19,0.17,0.19,0.19,0.22,0.19,0.19,0.22,0.19,0.18,0.2,0.2,0.15,0.16,0.2,0.19,0.18,0.15,0.16,0.16,0.18,0.18,0.19,0.2,0.13,0.19,0.07,0.21,0.16,0.14,0.16,0.21,0.18,0.17,0.19,0.21,0.24,0.23,0.14,0.16,0.16,0.19,0.17,0.14,0.2,0.16,0.17,0.17,0.18,0.19,0.18,0.18,0.17,0.1,0.15,0.18,0.16,0.18,0.2,0.15,0.17,0.17,0.19,0.18,0.17,0.15,0.2,0.16,0.21,0.17
Alaska 1959,0.19,0.24,0.25,0.24,0.22,0.25,0.48,1.0,0.3,0.21,0.2,0.21,0.34,0.1,0.17,0.18,0.22,0.16,0.2,0.21,0.24,0.19,0.2,0.21,0.23,0.26,0.31,0.41,0.2,0.27,0.26,0.18,0.21,0.26,0.32,0.21,0.27,0.19,0.21,0.19,0.18,0.16,0.19,0.22,0.19,0.22,0.22,0.25,0.22,0.22,0.3,0.21,0.21,0.23,0.24,0.18,0.2,0.28,0.26,0.23,0.22,0.17,0.18,0.2,0.2,0.25,0.24,0.19,0.27,0.07,0.23,0.19,0.14,0.19,0.28,0.24,0.19,0.22,0.25,0.3,0.31,0.17,0.22,0.21,0.23,0.23,0.16,0.28,0.25,0.18,0.18,0.2,0.23,0.25,0.24,0.24,0.11,0.17,0.22,0.23,0.21,0.25,0.21,0.2,0.2,0.22,0.21,0.26,0.22,0.28,0.18,0.27,0.23
Arizona 1912,0.28,0.32,0.34,0.33,0.31,0.48,0.2,0.3,1.0,0.31,0.29,0.36,0.59,0.18,0.26,0.27,0.33,0.24,0.3,0.34,0.36,0.27,0.28,0.3,0.34,0.43,0.54,0.32,0.28,0.39,0.42,0.26,0.32,0.41,0.46,0.31,0.4,0.27,0.31,0.29,0.26,0.23,0.29,0.36,0.27,0.31,0.31,0.37,0.32,0.33,0.49,0.37,0.33,0.35,0.41,0.26,0.3,0.43,0.4,0.38,0.31,0.26,0.27,0.3,0.3,0.39,0.38,0.25,0.43,0.13,0.37,0.3,0.24,0.29,0.45,0.4,0.33,0.35,0.41,0.5,0.53,0.25,0.34,0.3,0.39,0.36,0.23,0.46,0.39,0.27,0.27,0.31,0.37,0.38,0.39,0.34,0.17,0.28,0.33,0.31,0.3,0.35,0.35,0.32,0.29,0.33,0.31,0.44,0.34,0.45,0.27,0.45,0.35
Arkansas 1864,0.3,0.28,0.3,0.29,0.32,0.29,0.2,0.21,0.31,1.0,0.75,0.63,0.38,0.16,0.22,0.26,0.29,0.22,0.3,0.31,0.24,0.27,0.3,0.31,0.32,0.31,0.33,0.29,0.24,0.33,0.33,0.28,0.32,0.34,0.34,0.33,0.35,0.23,0.29,0.24,0.25,0.25,0.3,0.31,0.26,0.29,0.29,0.33,0.54,0.29,0.35,0.3,0.31,0.54,0.32,0.26,0.28,0.31,0.32,0.29,0.26,0.27,0.28,0.3,0.3,0.32,0.32,0.2,0.48,0.11,0.32,0.24,0.2,0.24,0.33,0.27,0.26,0.31,0.34,0.37,0.35,0.21,0.26,0.26,0.31,0.29,0.24,0.3,0.25,0.25,0.28,0.3,0.31,0.28,0.31,0.27,0.15,0.23,0.3,0.26,0.31,0.3,0.24,0.29,0.3,0.31,0.3,0.27,0.26,0.33,0.26,0.32,0.28
