State,Year,Region,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6
Alabama,1819,South,0.0,0.026075253263115883,0.0,0.0,0.9720892310142517,0.0,0.0
Alabama,1861,South,0.0,0.0,0.0,0.0,0.9977821111679077,0.0,0.0
Alabama,1865,South,0.0,0.0,0.0,0.0,0.997016191482544,0.0,0.0
Alabama,1868,South,0.0,0.2610953450202942,0.01844809204339981,0.0,0.7195366621017456,0.0,0.0
Alabama,1875,South,0.0,0.2850312888622284,0.1967787742614746,0.0,0.5176326036453247,0.0,0.0
Alabama,1901,South,0.0,0.9999727010726929,0.0,0.0,0.0,0.0,0.0
Alaska,1836,West,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Alaska,1959,West,0.0,0.0,0.9540899991989136,0.04382716119289398,0.0,0.0,0.0
Arizona,1912,West,0.046335455030202866,0.0,0.948042094707489,0.0,0.0,0.0,0.0
Arkansas,1864,South,0.0,0.0,0.0,0.0,0.997837483882904,0.0,0.0
Arkansas,1868,South,0.0,0.0,0.23986558616161346,0.0,0.75328528881073,0.0,0.0
Arkansas,1874,South,0.04477744176983833,0.21019969880580902,0.22969064116477966,0.11207350343465805,0.36253055930137634,0.037195589393377304,0.0
Colorado,1876,West,0.022910060361027718,0.0,0.04614138975739479,0.9268919825553894,0.0,0.0,0.0
Connecticut,1662,Northeast,0.0,0.0,0.0,0.0,0.7816460728645325,0.21725311875343323,0.0
Connecticut,1818,Northeast,0.0,0.0,0.0,0.48123037815093994,0.5175010561943054,0.0,0.0
Connecticut,1955,Northeast,0.05806694179773331,0.0,0.1633564978837967,0.39703336358070374,0.3801681101322174,0.0,0.0
Connecticut,1965,Northeast,0.03880669176578522,0.0,0.38154053688049316,0.41944998502731323,0.12991885840892792,0.029991302639245987,0.0
Delaware,1776,South,0.0,0.0,0.0,0.0,0.9967219233512878,0.0,0.0
Delaware,1792,South,0.0,0.036417752504348755,0.0,0.0,0.9618120193481445,0.0,0.0
Delaware,1831,South,0.0,0.10984621942043304,0.0,0.0,0.8888518810272217,0.0,0.0
Delaware,1897,South,0.0,0.3909047544002533,0.06985660642385483,0.0,0.4735199213027954,0.062252189964056015,0.0
Florida,1838,South,0.0,0.0,0.0,0.0,0.9370548129081726,0.061489831656217575,0.0
Florida,1861,South,0.0,0.024622201919555664,0.0,0.0,0.9738545417785645,0.0,0.0
Florida,1865,South,0.0,0.0,0.0,0.0,0.9188520908355713,0.07961568981409073,0.0
Florida,1868,South,0.0,0.0,0.011930497363209724,0.0,0.5833731889724731,0.40418925881385803,0.0
Florida,1885,South,0.0,0.0,0.0,0.0,0.0,0.9984779953956604,0.0
Florida,1968,South,0.0,0.0,0.0,0.0,0.0,0.9999205470085144,0.0
